Date,Open,High,Low,Close
02/13/2026,"6,834.27","6,881.96","6,794.55","6,836.17"
02/12/2026,"6,957.54","6,973.22","6,824.04","6,832.76"
02/11/2026,"6,976.48","6,993.48","6,911.97","6,941.47"
02/10/2026,"6,974.49","6,986.83","6,937.53","6,941.81"
02/09/2026,"6,917.26","6,980.10","6,905.87","6,964.82"
02/06/2026,"6,816.74","6,944.89","6,816.74","6,932.30"
02/05/2026,"6,837.39","6,857.85","6,780.13","6,798.40"
02/04/2026,"6,924.50","6,936.09","6,838.80","6,882.72"
02/03/2026,"6,985.45","6,993.08","6,862.05","6,917.81"
02/02/2026,"6,916.64","6,991.92","6,914.34","6,976.44"
01/30/2026,"6,947.27","6,964.09","6,893.48","6,939.03"
01/29/2026,"6,977.74","6,992.84","6,870.80","6,969.01"
01/28/2026,"7,002.00","7,002.28","6,963.46","6,978.03"
01/27/2026,"6,965.96","6,988.82","6,958.83","6,978.60"
01/26/2026,"6,923.23","6,964.66","6,921.60","6,950.23"
01/23/2026,"6,907.85","6,932.96","6,895.50","6,915.61"
01/22/2026,"6,914.44","6,934.75","6,893.62","6,913.35"
01/21/2026,"6,810.71","6,910.39","6,804.96","6,875.62"
01/20/2026,"6,865.24","6,871.17","6,789.05","6,796.86"
01/16/2026,"6,960.54","6,967.30","6,925.09","6,940.01"
01/15/2026,"6,969.46","6,979.34","6,937.93","6,944.47"
01/14/2026,"6,937.41","6,941.30","6,885.74","6,926.60"
